index,sample_id,groundtruth,S2S,CNN-LSTM,U-Net,S2S-only Transformer,Ours,Quantile Mapping
67,2023-04-25_lead_07,38.00000762939453,55.365901947021484,47.94495391845703,42.929237365722656,46.807064056396484,45.404937744140625,63.26669692993164
68,2022-04-29_lead_07,26.19999885559082,39.77653884887695,33.0931282043457,46.135677337646484,11.829122543334961,17.992712020874023,43.757423400878906
69,2023-04-29_lead_07,26.00000762939453,37.79106903076172,44.94507598876953,51.794227600097656,50.89301300048828,28.61224937438965,41.426734924316406
70,2022-05-02_lead_07,16.90000343322754,50.627437591552734,34.93852996826172,71.02967071533203,19.886445999145508,40.54620361328125,56.755428314208984
71,2023-05-02_lead_07,1.999999761581421,13.123973846435547,37.864524841308594,13.642587661743164,10.906638145446777,16.681734085083008,11.274406433105469
72,2022-05-06_lead_07,45.099998474121094,69.7000503540039,60.43768310546875,44.32166290283203,86.60728454589844,73.58665466308594,83.85639190673828
73,2023-05-06_lead_07,38.100006103515625,73.15641784667969,51.05093765258789,72.35655975341797,93.02762603759766,56.018836975097656,90.0924301147461
74,2022-05-09_lead_07,111.40000915527344,121.805908203125,61.31502914428711,58.17305374145508,116.09456634521484,118.7785415649414,187.8621063232422
75,2023-05-09_lead_07,57.100006103515625,74.0981674194336,74.50747680664062,40.98091125488281,92.014404296875,57.66292190551758,91.73677062988281
76,2022-05-13_lead_07,125.5999984741211,78.37637329101562,80.38484191894531,65.95345306396484,73.42047119140625,37.43809509277344,98.96990966796875
77,2023-05-13_lead_07,19.0,46.463069915771484,43.77277374267578,33.971717834472656,31.472990036010742,28.022512435913086,51.95948028564453
78,2022-05-16_lead_07,112.40003967285156,75.164306640625,71.71565246582031,73.58772277832031,138.11717224121094,83.36217498779297,93.53984069824219
79,2023-05-16_lead_07,0.0,1.4394763708114624,28.403079986572266,10.037460327148438,8.620848655700684,19.03744888305664,0.0
80,2022-05-20_lead_07,112.79996490478516,177.03282165527344,94.0068359375,73.13704681396484,120.12828826904297,108.38626098632812,300.0
81,2023-05-20_lead_07,32.30000305175781,11.421103477478027,36.11874771118164,46.27707290649414,4.455442428588867,20.440095901489258,8.908334732055664
82,2022-05-23_lead_07,56.79999542236328,105.20118713378906,101.0613021850586,71.69658660888672,118.70391082763672,109.29917907714844,152.59425354003906
83,2023-05-23_lead_07,33.0,12.099478721618652,66.73208618164062,66.06742858886719,16.24294090270996,18.32426643371582,9.999579429626465
84,2022-05-27_lead_07,56.0,70.42115783691406,57.376121520996094,44.94295120239258,93.3136215209961,86.68623352050781,84.80404663085938
85,2023-05-27_lead_07,5.699999809265137,33.84574508666992,69.65316772460938,100.32376098632812,63.581085205078125,35.141944885253906,36.68421936035156
